m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2011,Q,,2011,1,2011,1,7,3.0575,,,0.6957,3.1639,56.3881,34.1934,34.1934,,19.3952,8.761,6300,,,,0.0527,1.2543,0.1169,769.6035,2.7761,7.4973,0.4798,0.8446,0.592,11.8608,0.7232
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2011,Q,,2011,2,2011,2,7,2.8201,,,0.6806,3.0779,51.1074,27.6338,27.6338,,12.7334,10.3557,12107,,,,0.0482,1.1916,0.1113,808.6786,2.7945,7.5817,0.493,0.8926,1.138,12.3012,1.4231
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2011,Q,,2011,3,2011,3,7,2.6684,,,0.6791,3.1205,52.61,25.953,25.953,,10.6521,6.6254,19809,,,,0.0479,1.1157,0.113,796.6364,2.6267,8.1123,0.4514,0.8429,1.8675,12.008,2.2837
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2011,A,,2011,4,2011,4,7,2.4931,,,0.6733,3.2257,53.4072,28.267,28.267,34.399,13.7565,8.9531,26589,,,,0.204,4.9506,0.4759,767.045,12.2014,43.1028,2.007,3.9863,2.5037,11.1732,3.1411
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2012,Q,,2012,1,2012,1,7,2.4362,,,0.6576,3.0607,49.0622,25.31,,,,,,,,,,,,,,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2012,Q,,2012,2,2012,2,7,2.5297,,,0.6497,2.8744,47.2512,24.1613,24.1613,,11.5037,8.5309,9636,,,,0.0524,1.2435,0.1247,721.6394,2.979,9.2832,0.5318,1.0435,0.9081,11.7341,1.3398
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2012,Q,,2012,3,2012,3,7,2.7025,,,0.647,2.7739,48.9463,24.4773,24.4773,,11.0995,9.6293,14414,,,,0.0519,1.1552,0.1252,718.8233,2.7083,8.0357,0.4961,0.9559,1.3639,12.2079,1.8999
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2012,A,,2012,4,2012,4,7,2.9431,,,0.6476,2.6269,49.3401,24.8677,24.8677,31.1343,11.8493,9.2996,22396,,,,0.2141,4.8335,0.5147,709.1875,11.5568,34.2286,2.1674,4.0726,2.12,12.346,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2013,Q,,2013,1,2013,1,7,3.3656,,,0.6448,2.4597,50.4479,25.3613,25.3613,,11.845,10.0936,1795,,,,0.0521,1.0635,0.1256,716.3323,2.8136,8.16,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2013,Q,,2013,2,2013,2,7,3.4842,,,0.6423,2.3947,47.2575,22.9043,22.9043,,10.6478,8.9364,7274,,,,0.0531,1.1032,0.1268,709.8137,2.6574,7.7572,0.5182,0.9506,0.7043,12.6484,1.1552
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2013,Q,,2013,3,2013,3,7,3.3566,,,0.6374,2.3819,45.4446,21.1043,21.1043,,10.1512,8.9482,11152,,,,0.0539,1.0843,0.1304,690.1161,2.5356,8.8925,0.4947,0.9193,1.0909,12.7548,1.6788
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2013,A,,2013,4,2013,4,7,3.4309,,,0.6184,2.19,29.4971,12.9198,12.9198,17.5134,8.0357,11.5299,24472,,,,0.1725,4.6084,0.4157,878.1079,5.7617,17.5817,1.2003,2.1986,2.3785,13.5955,2.7709
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2014,Q,,2014,1,2014,1,7,3.4322,,,0.6156,2.1527,44.7896,21.0564,21.0564,,9.8933,8.9394,2864,,,,0.0514,0.981,0.1257,716.2576,1.9563,6.1222,0.414,0.7521,0.2829,13.7637,0.4901
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2014,Q,,2014,2,2014,2,7,3.4988,,,0.6076,2.0731,37.9851,18.54,18.54,,9.535,10.9888,8003,,,,0.0495,1.0152,0.1233,730.1661,2.059,6.2354,0.4424,0.808,0.7916,13.9594,1.0099
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2014,Q,,2014,3,2014,3,7,3.6328,,,0.5977,1.9726,38.5181,18.8401,18.8401,,9.9791,11.0163,13698,,,,0.0494,1.0159,0.1249,720.7148,1.9532,5.4645,0.4312,0.7858,1.3537,14.2908,1.6054
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2014,A,,2014,4,2014,4,7,1.488,,,0.5769,1.8784,28.5705,13.2416,13.2416,17.4683,8.758,12.9992,23498,,,,0.1789,4.732,2.7288,133.7571,6.9355,13.4717,1.449,2.9342,2.3212,13.6052,2.7372
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2015,Q,,2015,1,2015,1,7,3.0529,,,0.6188,2.2134,28.8006,10.8655,10.8655,,6.1778,-51.7283,4961,,,,0.0425,1.0478,0.275,327.2263,-3.9839,-13.6793,-0.7566,-1.5186,0.4928,11.6414,0.6049
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2015,Q,,2015,2,2015,2,7,2.5945,,,0.6105,2.1405,,,,,,,,,,,,,,,,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2015,Q,,2015,3,2015,3,7,3.3048,,,0.6,1.8877,29.1601,12.9157,12.9157,,7.3141,8.9411,10745,,,,0.0482,1.0296,0.2776,324.2061,1.5959,4.2827,0.3294,0.6383,1.0562,11.8696,1.2922
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2015,A,,2015,4,2015,4,7,1.6257,,,0.5909,1.9425,29.5546,12.1429,12.1429,16.272,6.9736,-5.2349,15602,,,,0.2381,3.6728,2.5599,142.5846,1.6978,10.11,0.3448,0.6945,1.5577,10.6765,1.9859
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2016,Q,,2016,1,2016,1,7,1.6896,,,0.5876,1.9758,26.8774,9.3985,9.3985,,0.8547,-0.2191,-596,,,,0.0602,0.8517,0.6296,142.9592,0.4474,4.2992,0.0898,0.1845,-0.0635,10.0868,0.0686
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2016,Q,,2016,2,2016,2,7,1.9142,,,0.5856,1.7815,33.1731,17.6897,17.6897,,11.417,8.2283,-4665,,,,0.0834,0.9054,0.7645,117.7277,3,,,,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2016,Q,,2016,3,2016,3,7,2.0119,,,0.5807,1.7626,28.3606,12.7076,12.7076,,7.0867,6.8134,-3579,,,,0.0755,0.8694,0.6751,133.3148,2.4611,-63.7915,0.5303,1.032,-0.397,9.4439,-0.2077
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2016,A,,2016,4,2016,4,7,1.9252,,,0.5756,1.7524,29.2741,13.6233,13.6233,17.6631,7.3003,6.6099,-3019,,,,0.3387,3.9135,2.9268,124.709,12.2529,-101.183,2.5998,5.2002,-0.3307,8.8636,-0.0267
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2017,Q,,2017,1,2017,1,7,1.8755,,,0.5668,1.6804,26.3955,9.4179,9.4179,,3.008,2.2379,-349,,,,0.0787,0.8968,0.6963,129.2473,1.0713,-7.6584,0.2321,0.464,-0.0396,8.7717,0.0351
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2017,Q,,2017,2,2017,2,7,1.848,,,0.5777,1.7645,26.2704,11.3167,11.3167,,5.1255,4.0091,1367,,,,0.0832,0.954,0.7436,121.0393,1.9781,-11.1185,0.4217,0.8353,0.1561,8.753,0.2847
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2011,Q,,2011,2,2011,1,7,1.9319,,,,,41.4238,31.9212,31.9212,,32.0266,24.27,,,,,,,,,,,,,,,
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2011,Q,,2011,3,2011,2,7,1.7461,,,,,41.7276,32.827,32.827,,33.429,25.5784,24485,,,,0.2676,18.7278,2.4907,36.1342,10.5389,10.8374,6.8454,10.5389,3.7298,10.6873,4.1282
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2011,A,,2011,4,2011,3,7,1.6084,,,,,40.4789,31.2151,31.2151,32.8908,31.5985,23.9466,33269,,,,0.9302,83.0296,9.2386,39.508,33.8341,35.9115,22.2753,33.8341,5.0742,11.778,5.7239
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2011,Q,,2012,1,2011,4,7,1.5827,,,,,44.6831,37.4247,37.4247,,37.7204,28.1959,16233,,,,0.3341,20.7363,2.8108,32.0195,14.5069,15.2464,9.4202,14.5069,2.4629,13.8003,2.6633
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2012,Q,,2012,2,2012,1,7,1.583,,,,,47.3741,39.2589,39.2589,,39.6366,29.6586,28753,,,,0.2596,18.7133,2.846,31.6238,11.3388,11.8892,7.7001,11.3388,4.3471,15.6608,4.7671
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2012,Q,,2012,3,2012,2,7,1.5712,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2012,A,,2012,4,2012,3,7,1.4958,,,,,43.8712,35.296,35.296,37.3898,35.6295,26.6651,42561,,,,0.8889,111.0569,8.373,43.5925,35.3041,36.9806,23.7033,35.3041,6.4316,17.9802,7.6851
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2012,Q,,2013,1,2012,4,7,1.5433,,,,,38.6337,31.571,31.571,,32.4186,23.9911,21109,,,,0.278,22.9911,2.5314,35.5529,10.2697,10.7635,6.6695,10.2697,3.1836,19.3747,3.5331
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2013,Q,,2013,2,2013,1,7,1.7837,,,,,37.4951,28.8008,28.8008,,29.5966,21.8953,31605,,,,0.2239,21.8908,3.2696,27.5266,7.0463,7.3464,4.9024,7.0463,4.7726,20.5891,5.4257
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2013,Q,,2013,3,2013,2,7,1.8783,,,0.1209,0.1375,36.8712,26.0482,26.0482,,26.7106,19.534,37548,,,,0.1767,13.1403,2.6257,34.2771,5.5937,5.8734,3.4525,4.9176,5.8035,19.3981,6.7634
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2013,A,,2013,4,2013,3,7,1.6786,,,0.1207,0.1373,37.6245,28.6695,28.6695,32.623,29.3459,21.6705,45501,,,,0.8257,60.4342,8.2801,44.0815,29.9776,31.4425,17.8923,26.3592,6.9769,19.6281,8.2289
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2013,Q,,2014,1,2013,4,7,1.4943,,,0.1157,0.1308,37.931,30.3209,30.3209,,30.748,22.6968,20685,,,,0.2558,16.8464,2.2857,39.376,10.0799,10.5797,5.805,8.914,3.278,20.759,3.5926
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2014,Q,,2014,2,2014,1,7,1.6326,,,0.1237,0.1411,39.3178,29.7792,29.7792,,30.2721,22.3963,32841,,,,0.2216,15.1443,2.8853,31.1922,8.5065,8.9522,4.9629,7.4544,5.3342,19.9229,5.8811
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2014,Q,,2014,3,2014,2,7,1.4706,,,0.1936,0.2567,39.3647,27.4685,27.4685,,28.0081,20.6989,40718,,,,0.1682,14.239,2.2227,40.4918,6.4065,6.7492,3.4819,5.1664,6.7283,20.1931,7.6777
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2014,A,,2014,4,2014,3,7,1.0801,,,0.2063,0.3164,38.588,28.7223,28.7223,33.0693,29.2585,21.6144,50142,,,,0.7885,53.1776,6.7157,54.3501,35.4201,38.438,17.042,28.1142,8.1896,19.0153,9.7528
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2014,Q,,2015,1,2014,4,7,1.133,,,0.2086,0.2952,39.8678,32.5018,32.5018,,32.7297,24.1612,30505,,,,0.2848,19.6487,2.4886,36.1646,14.6147,15.765,6.8822,11.5663,5.1863,21.167,5.7333
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2015,Q,,2015,2,2015,1,7,1.156,,,0.237,0.3401,40.7792,31.5084,31.5084,,32.0014,23.3908,47217,,,,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,8.0922,22.388,9.0496
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2015,Q,,2015,3,2015,2,7,1.0868,,,0.2739,0.433,39.6754,28.3903,28.3903,,29.1765,21.524,60162,,,,0.1816,14.6543,2.4918,36.1179,8.4956,9.137,3.9088,6.1683,10.4211,22.0277,11.7426
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2015,A,,2015,4,2015,3,7,1.1088,,,0.3088,0.539,40.0599,30.4773,30.4773,35.2938,31.0271,22.8458,70019,,,,0.805,59.6377,7.7024,47.3876,44.7355,48.3878,18.3899,30.9201,12.0867,21.3946,14.0281
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2015,Q,,2016,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2016,Q,,2016,2,2016,1,7,1.2831,,,0.3472,0.6122,39.4031,27.6658,27.6658,,27.9724,20.8003,33116,,,,0.1656,13.431,2.5503,35.2901,8.0609,8.6648,3.4447,5.2624,5.9767,23.8128,7.0501
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2016,Q,,2016,3,2016,2,7,1.3116,,,0.3527,0.6712,38.0235,23.8562,23.8562,,24.7155,18.405,40941,,,,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,7.4808,23.4639,9.0809
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2016,A,,2016,4,2016,3,7,1.3527,,,0.3703,0.6786,39.076,27.8354,27.8354,32.707,28.4605,21.1868,53090,,,,0.6703,61.621,7.3599,49.5928,35.6237,38.1906,14.2024,22.4312,9.6522,24.0339,11.9674
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2016,Q,,2017,1,2016,4,7,1.2282,,,0.3572,0.6613,38.5139,29.8133,29.8133,,30.8611,22.8344,23722,,,,0.2366,17.7636,2.8006,32.1365,13.5139,14.4144,5.4,,,,
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2017,Q,,2017,2,2017,1,7,1.3906,,,0.3867,0.7348,38.9273,26.6504,26.6504,,27.7601,20.8504,33270,,,,0.1581,11.1014,2.5663,35.0703,8.2256,8.7537,3.2968,5.045,6.3231,25.7562,7.5221
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2017,Q,,2017,3,2017,2,7,1.3883,,,0.4043,0.8181,38.513,23.7139,23.7139,,24.9031,19.1971,39356,,,,0.1316,8.8748,2.0064,44.8573,6.5826,7.0117,2.5254,3.9215,7.52,25.6152,9.1606
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2011,Q,,2011,3,2011,1,7,2.7561,,,0.1823,0.2229,76.2783,34.7516,34.7516,,36.6752,31.8481,19339,,,,0.1647,3.6903,1.6374,54.9653,9.7882,13.0611,5.2463,8.004,2.2725,6.3399,2.4738
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2011,A,,2011,4,2011,2,7,2.6037,,,0.1728,0.2088,77.729,38.8331,38.8331,42.7877,40.1341,33.0984,24639,,,,0.6434,11.3535,4.6669,78.2102,40.555,52.9046,21.2964,33.5488,2.8673,6.8151,3.1414
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2011,Q,,2012,1,2011,3,7,2.9468,,,0.1672,0.2008,78.2581,41.4633,41.4633,,42.0562,33.0302,8057,,,,0.1617,1.6639,1.711,52.6002,9.6614,12.5207,5.3419,8.0457,0.949,7.062,1.0004
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2011,Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2012,Q,,2012,3,2012,1,7,2.937,,,0.1481,0.1739,77.2965,36.6175,36.6175,,36.5543,29.3445,22266,,,,0.1475,2.7989,1.5881,56.672,7.4397,11.0551,4.3284,6.3377,2.6201,8.1737,2.8182
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2012,A,,2012,4,2012,2,7,2.6029,,,0.139,0.18,76.2218,29.52,29.52,41.9449,30.2036,23.0295,29321,,,,0.6079,15.4178,4.6719,78.1262,25.5835,34.1328,14.0001,22.0276,3.447,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2012,Q,,2013,1,2012,3,7,2.6766,,,0.1237,0.1736,73.963,33.1584,33.1584,,34.5702,27.8986,7881,,,,0.1313,2.5665,1.6217,55.4966,6.4879,8.766,3.6644,5.6856,0.9278,8.1734,0.9988
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2012,Q,,2013,2,2012,4,7,2.8071,,,0.1413,0.1955,73.4713,36.2183,36.2183,,36.2137,2,,,,,,,,,,,,,,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2013,Q,,2013,3,2013,1,7,2.9291,,,0.1348,0.1851,76.6363,37.1516,37.1516,,37.1077,29.5524,20467,,,,0.1528,2.2443,1.7087,52.6717,7.8956,10.3036,4.5151,6.8312,2.4282,9.1853,2.7204
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2013,A,,2013,4,2013,2,7,2.7118,,,0.1376,0.1976,73.8147,34.3794,34.3794,39.2028,34.7493,28.0839,24576,,,,0.5466,10.5186,4.4521,81.9842,27.6943,35.7204,15.3499,23.8822,2.9015,9.4793,3.4041
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2013,Q,,2014,1,2013,3,7,2.8724,,,0.134,0.1951,72.2327,34.1843,34.1843,,34.5836,28.3016,6974,,,,0.1302,1.969,1.6834,53.4638,6.4232,8.1948,3.6839,5.5626,0.8269,9.7821,0.9728
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2013,Q,,2014,2,2013,4,7,3.1673,,,0.1955,0.27,66.059,32.5013,32.5013,,32.1302,26.7466,9655,,,,0.1597,5.2208,1.5338,58.6786,7.7062,9.7192,4.2711,6.1999,1,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2014,Q,,2014,3,2014,1,7,3.2152,,,0.1913,0.2594,70.7004,34.1813,34.1813,,34.0979,27.741,18562,,,,0.1307,3.1135,1.5117,59.5368,6.4742,8.1121,3.6254,5.2357,2.2185,10.584,2.7151
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2014,A,,2014,4,2014,2,7,2.504,,,0.187,0.2522,68.816,31.9683,31.9683,37.9706,32.0385,25.4212,27017,,,,0.5037,10.1797,4.4429,82.1526,24.5857,35.2192,12.8051,19.9893,3.2167,10.8974,3.8697
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2014,Q,,2015,1,2014,3,7,2.5158,,,0.17,0.2631,64.3421,25.1886,25.1886,,25.4127,19.5681,7072,,,,0.1368,2.6339,1.8003,49.9905,5.0349,7.1613,2.676,4.1789,0.8468,10.9231,1.0004
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2014,Q,,2015,2,2014,4,7,2.4541,,,0.1658,0.3081,61.7076,29.3767,29.3767,,29.6562,22.1496,9922,,,,0.1514,4.9372,1.6354,55.0336,6.3812,9.3472,3.3532,5.3233,1.1959,11.1802,1.53
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2015,Q,,2015,3,2015,1,7,2.9056,,,0.2347,0.3536,67.044,30.3465,30.3465,,29.9922,22.9417,18656,,,,0.123,2.9004,1.7485,51.4718,5.5308,8.1135,2.8214,4.2326,2.2649,11.1096,2.7703
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2015,A,,2015,4,2015,2,7,2.4734,,,0.2577,0.4407,64.6955,19.4069,19.4069,33.785,19.7767,13.0295,23724,,,,0.5364,11.3846,5.2256,69.8485,15.2255,20.911,6.9885,11.3012,2.8742,9.9767,3.5944
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2015,Q,,2016,1,2015,3,7,2.4627,,,0.2643,0.498,64.6352,28.4263,28.4263,,27.0524,24.0542,7520,,,,0.1179,1.8886,1.7808,50.5403,6.3297,8.8232,2.8352,4.6569,0.9302,9.6976,1.098
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2015,Q,,2016,2,2015,4,7,2.9973,,,0.3463,0.5787,58.514,25.3236,25.3236,,24.605,21.0876,11114,,,,0.1321,3.6536,1.6403,54.8676,6.5356,9.1695,2.7863,4.2721,1.3805,9.6883,1.8003
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2016,Q,,2016,3,2016,1,7,2.8954,,,0.3535,0.6202,62.3886,25.7318,25,,,,,,,,,,,,,,,,,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2016,A,,2016,4,2016,2,7,2.3529,,,0.3603,0.7425,61.5799,23.6545,23.6545,32.1542,23.1493,19.6882,24982,,,,0.441,14.5624,4.6682,78.1892,23.3315,33.3347,8.6826,14.9244,3.1177,9.2209,4.1589
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-09-2016,Q,,2017,1,2016,3,7,2.6851,,,0.4609,1.0614,61.6487,25.5464,25.5464,,26.0353,22.9306,9386,,,,0.0962,2.5125,1.8378,48.9713,6.6646,9.5826,2.2068,3.5932,1.1917,9.0406,1.4664
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-12-2016,Q,,2017,2,2016,4,7,2.0477,,,0.4629,1.2349,58.9,25.6414,25.6414,,26.4135,21.5857,13691,,,,0.1073,5.049,1.6796,53.5853,7.5572,22.3329,2.3151,4.0589,1.7485,8.9016,2.2787
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,31-03-2017,Q,,2017,3,2017,1,7,2.8134,,,0.5222,1.2048,63.5129,25.3237,25.3237,,26.7814,21.7338,22656,,,,0.0982,4.0728,1.7148,52.4844,6.8852,19.5,,,,,
MSFT,MSFT,MICROSOFT CORP,Microsoft Corporation,NSDQ,USD,30-06-2017,A,,2017,4,2017,2,7,2.4773,,,0.5124,1.1906,61.9111,24.8205,24.8205,34.5792,25.7354,23.5731,31378,,,,0.3731,15.7089,4.5448,80.3122,29.2897,78.0535,8.7952,14.282,4.0064,9.3921,5.0443
